iter	Logloss
0	0.6686322643
1	0.6499603822
2	0.6348596061
3	0.6213191053
4	0.6119278151
5	0.603464502
6	0.5953500083
7	0.5886967809
8	0.5836315917
9	0.5781898088
10	0.5742870419
11	0.5695059176
12	0.5662547926
13	0.5626858446
14	0.5595809274
15	0.5567069187
16	0.5535198245
17	0.5505627717
18	0.5476973049
19	0.5446388388
20	0.5423321707
21	0.540278265
22	0.5385149862
23	0.53607478
24	0.534308608
25	0.5310990824
26	0.5279325242
27	0.5261749073
28	0.5245075168
29	0.5217865099
30	0.5204877304
31	0.5186526995
32	0.5168396179
33	0.515369727
34	0.5136042334
35	0.5111453195
36	0.5098652531
37	0.5087297672
38	0.5074277226
39	0.5055144333
40	0.5040578921
41	0.5039436095
42	0.5024933966
43	0.5014951193
44	0.5006217663
45	0.4995311781
46	0.4981808678
47	0.4964475802
48	0.4944676478
49	0.4934104939
50	0.4927240533
51	0.4919151697
52	0.4910762715
53	0.4896105493
54	0.487594996
55	0.4863720225
56	0.4851715468
57	0.4836445355
58	0.4819738418
59	0.4806565216
60	0.4796553804
61	0.4773074041
62	0.4758346458
63	0.4751456422
64	0.4736105963
65	0.4731911472
66	0.4723605405
67	0.4716896894
68	0.4704964554
69	0.4694872365
70	0.4688666513
71	0.4666833297
72	0.4654312756
73	0.4648088038
74	0.4643518066
75	0.463142231
76	0.461525466
77	0.4603547478
78	0.4591762087
79	0.4580144899
80	0.457168865
81	0.4556281324
82	0.4544051295
83	0.4536878522
84	0.452473956
85	0.4515243418
86	0.4505795283
87	0.4497200792
88	0.4487240274
89	0.4477653501
90	0.4469702548
91	0.4458819229
92	0.4447100911
93	0.443850575
94	0.4430661951
95	0.4424742584
96	0.4416512821
97	0.4407178266
98	0.4388608591
99	0.437784199
100	0.4370700455
101	0.4362002751
102	0.4350824178
103	0.4347589035
104	0.4333198056
105	0.4313673859
106	0.4306459004
107	0.4299427364
108	0.4295193577
109	0.428527509
110	0.4274226115
111	0.4267806052
112	0.42639747
113	0.4247472199
114	0.423970853
115	0.4226518217
116	0.4220086346
117	0.4208914315
118	0.4193324691
119	0.4190682496
120	0.4173452274
121	0.4166869866
122	0.4151777694
123	0.4137560817
124	0.4126861645
125	0.4118942692
126	0.4110282016
127	0.4106330564
128	0.40941694
129	0.4089272085
130	0.4079930844
131	0.4067215609
132	0.405853215
133	0.4051685347
134	0.404544805
135	0.4036166174
136	0.4020092477
137	0.4010711576
138	0.398818539
139	0.3984788324
140	0.3974785642
141	0.3966693578
142	0.3961350861
143	0.3955579086
144	0.3947923919
145	0.3943914478
146	0.393619251
147	0.392185798
148	0.3912862697
149	0.3901883194
150	0.3890452446
151	0.388151306
152	0.3875829502
153	0.3857382259
154	0.3850277044
155	0.3843293962
156	0.3832549809
157	0.38249751
158	0.3817268502
159	0.3808979214
160	0.3803341234
161	0.3793301513
162	0.3777529657
163	0.3771517104
164	0.3757502174
165	0.3752597819
166	0.3742841194
167	0.3735232125
168	0.3723272909
169	0.371828277
170	0.37102212
171	0.3697770581
172	0.3690179315
173	0.3685712906
174	0.3677645622
175	0.3672003054
176	0.3662275074
177	0.3654857859
178	0.3646488684
179	0.3644745137
180	0.3638090725
181	0.3630131532
182	0.3618807866
183	0.3617874663
184	0.3607773255
185	0.3594843389
186	0.3581187308
187	0.357394014
188	0.3565974982
189	0.3558250892
190	0.3549982758
191	0.35426528
192	0.3539748843
193	0.3533143018
194	0.3522503088
195	0.351558774
196	0.3507767168
197	0.3499151386
198	0.3489853725
199	0.3478390553
